Date,Time,label,TradingPair,HoldingTime
2022/12/29,21:30:00,1,XAU/USD,30000
2022/12/22,21:30:00,-1,XAU/USD,30000
2022/12/15,21:30:00,-1,XAU/USD,30000
2022/12/8,21:30:00,1,XAU/USD,30000
2022/12/1,21:30:00,-1,XAU/USD,30000
2022/11/23,21:30:00,1,XAU/USD,30000
2022/11/17,21:30:00,1,XAU/USD,30000
2022/11/10,21:30:00,1,XAU/USD,30000
2022/10/27,20:30:00,1,XAU/USD,30000
2022/10/20,20:30:00,-1,XAU/USD,30000
2022/10/13,20:30:00,1,XAU/USD,30000
2022/10/6,20:30:00,1,XAU/USD,30000
2022/9/29,20:30:00,-1,XAU/USD,30000
2022/9/22,20:30:00,-1,XAU/USD,30000
2022/9/15,20:30:00,-1,XAU/USD,30000
2022/9/8,20:30:00,-1,XAU/USD,30000
2022/9/1,20:30:00,-1,XAU/USD,30000
2022/8/25,20:30:00,-1,XAU/USD,30000
2022/8/18,20:30:00,-1,XAU/USD,30000
2022/8/11,20:30:00,1,XAU/USD,30000
2022/8/4,20:30:00,1,XAU/USD,30000
2022/7/28,20:30:00,1,XAU/USD,30000
2022/7/21,20:30:00,1,XAU/USD,30000
2022/7/14,20:30:00,-1,XAU/USD,30000
2022/6/30,20:30:00,1,XAU/USD,30000
2022/6/16,20:30:00,1,XAU/USD,30000
2022/6/9,20:30:00,1,XAU/USD,30000
2022/6/2,20:30:00,-1,XAU/USD,30000
2022/5/19,20:30:00,1,XAU/USD,30000
2022/5/12,20:30:00,1,XAU/USD,30000
2022/5/5,20:30:00,1,XAU/USD,30000
2022/4/28,20:30:00,1,XAU/USD,30000
2022/4/21,20:30:00,1,XAU/USD,30000
2022/4/7,20:30:00,-1,XAU/USD,30000
2022/3/31,20:30:00,-1,XAU/USD,30000
2022/3/24,20:30:00,-1,XAU/USD,30000
2022/3/17,20:30:00,-1,XAU/USD,30000
2022/3/10,21:30:00,1,XAU/USD,30000
2022/3/3,21:30:00,-1,XAU/USD,30000
2022/2/24,21:30:00,-1,XAU/USD,30000
2022/2/17,21:30:00,-1,XAU/USD,30000
2022/2/10,21:30:00,-1,XAU/USD,30000
2022/1/27,21:30:00,-1,XAU/USD,30000
2022/1/13,21:30:00,1,XAU/USD,30000
2022/1/6,21:30:00,1,XAU/USD,30000
